     filename                                                            SHA256                                                  SHA3_224                               MD5
0   file1.bin  5f03c9ab8ef711596722174756cd27ff526cb7cf1ef1c84f0e29ce70e76ca305  ee9a26956561bb947bea748b2898688f132590736438c08cb9ddafe7  c80ddabbed330a57e8d7ac331e2641d5
1   file2.bin  0523adc5fd0fa561a63f9a6a49fb6c3dd8990c0b18281c01ac1228c371d08082  94702232bd795dc3b834670b66a53f265d53d89c1bd91c1170831c88  788a49e434c753196b4f7b12adadfb33
2   file3.bin  b1c888e8363af7e3404e1329c58be937fe70846aa44b617e7e53296a8b2624fb  2e307223393b9e55ad215e5b3e6f2ddd32ca5995ef1fa68b46927c23  0bded2191b40e8ba5bc2d1bcab885415
3   file4.bin  e086281a4023b6e9d36bfe94e04f8b42130de0635a9428aae1bd5cfd377a9495  797bbf47361996201c41af4ad23f4c9089a9727562a954950a9d5918  54d80a6afeede30d418d6885455d9350
4   file5.bin  317966bb60bf4957e2115736b048c2842ff6bbc156113895c75499f48cd0143a  83edcfdfe4e623c620f4de6178b590167f3d9b31636348665adeebed  5324e238f2760754d2e24063fdfdc354
5   file6.bin  bcc932ae824970f0c0fa3d9d8e504849d234e3cb5c3713870fa9f5634669a58f  c7ed7759a9ff8375811afbe4a4532ad57392b289c30e25394f0d3fe3  9c7f4de374c39c8c3107906b740213a4
6   file7.bin  10e30b911623930a7e93287a8a1d15328d38747617e65ec893a43a67cc789047  ea4bd15e87a35fa04898d9a76e553b9ed671520c5c7f10a233b20cd8  1da1f76d9805e7cbe5541e678b93cd0c
7   file8.bin  c0672143b09e14823a7415dd4607407da0cf7c576a4c66cad138db2ff75b9b1f  164e1e5e237a39340e8e9df30635c647b73d7622fca43d9fcb17c658  9d53525e9176b04c426c5a0299f89c76
8   file9.bin  0bf79446da09bf30dbd24647599511c25bffe713127404b04daf367090a094c0  1579255007f0ebcfcebf4539b689249a52133b5455bf854b68f728ef  f17c9a516139453286bd9d433e0bf30c
9  file10.bin  dba974e48a5710d819aeb2328023735d0c4032d34c6287293fced8f0613fe51b  581b515cd2c9e7e1b54bf08eb57457747b4275fe499ce18bbf6de2bc  32507973a08168df1e580d17e6dd18a6
